Ticker number,Ticker,Week's Performance,Highest Price,Lowest Price,Best Day,Worst Day,Week's Volume
4226,LILA,-0.303%,$10.18,$9.70,0.505%,-1.393%,34392818317035322391
1742,CPTK,-0.303%,$9.91,$9.87,0.000%,-0.202%,6314513426
2091,DNAA,-0.303%,$9.95,$9.86,0.102%,-0.025%,1368325539
6063,ROCL,-0.303%,$10.64,$9.80,1.251%,-6.109%,3541041245
3214,GSQD,-0.304%,$9.87,$9.83,0.000%,-0.203%,11210586895
7531,WGO,-0.306%,$57.47,$51.94,4.130%,-3.726%,2638521595172871490713223
3763,IPVA,-0.306%,$9.80,$9.73,0.494%,-0.408%,78201414
6868,TETEU,-0.309%,$10.40,$10.05,0.086%,-0.199%,27523229
7768,ZTEK,-0.311%,$3.35,$2.78,10.357%,-6.211%,72164164168026331783
4383,M,-0.312%,$26.97,$24.98,2.729%,-2.997%,5477860266872278710969281
1698,CORR,-0.313%,$3.31,$3.10,3.871%,-2.492%,453674455369271
7572,WMPN,-0.313%,$12.87,$12.64,0.391%,-0.312%,1272151454754
2481,ETV,-0.316%,$15.89,$15.65,0.382%,-0.695%,21591323114814091725
4850,NCR,-0.317%,$42.49,$40.07,1.591%,-1.967%,10649967813377125059308
4826,NBHC,-0.317%,$42.30,$40.41,1.162%,-3.109%,14281756178622722617
5271,OPINL,-0.319%,$25.48,$24.90,0.200%,-1.030%,10515922998139
3624,IHT,-0.319%,$3.45,$2.80,3.172%,-11.884%,1111092808848
5991,RILYK,-0.320%,$25.28,$24.93,1.039%,-0.832%,78951082127
228,AGNCO,-0.321%,$24.94,$24.61,0.526%,-0.962%,125217135179115
2826,FSS,-0.321%,$34.94,$33.57,1.076%,-1.555%,39504085417041673607
4395,MACK,-0.322%,$6.53,$5.95,3.192%,-1.634%,7116733291102
557,ARLP,-0.323%,$15.91,$14.61,1.656%,-1.155%,30613153278833011876
702,AURCW,-0.325%,$0.46,$0.38,0.526%,-12.986%,531511330
3139,GOODO,-0.326%,$25.24,$24.80,0.399%,-0.797%,60111143714
486,APOG,-0.327%,$50.14,$47.81,2.780%,-2.088%,38614403358344394806
5493,PFC,-0.327%,$31.66,$30.26,1.558%,-2.927%,24922822177330763988
1511,CIK,-0.329%,$3.06,$2.97,1.333%,-1.320%,4106201019677544
3352,HI,-0.331%,$46.50,$43.50,2.986%,-2.451%,54956435564773234897
7162,UFI,-0.331%,$18.82,$17.89,1.811%,-1.580%,6451120125112941652
4593,MLACW,-0.334%,$0.15,$0.13,6.638%,-13.209%,11314711
1655,CNTY,-0.335%,$12.59,$11.29,3.804%,-2.377%,1386958152016311246
4097,LADR,-0.335%,$12.36,$11.86,1.669%,-1.814%,31234066463245203822
2101,DNP,-0.338%,$11.94,$11.73,0.423%,-0.254%,15201840209721792200
1458,CHEK,-0.341%,$0.42,$0.34,4.167%,-4.800%,12053104422534991080
6497,SNEX,-0.343%,$77.50,$75.36,1.714%,-1.933%,14891590139217061743
7600,WSBC,-0.343%,$36.24,$33.97,1.842%,-2.410%,47133525353841645527
2333,EML,-0.347%,$24.25,$23.05,1.254%,-0.906%,173363150146148
6575,SPRO,-0.347%,$9.00,$7.67,5.774%,-6.532%,20391771188216893082
3171,GRCL,-0.348%,$2.82,$2.22,8.355%,-13.900%,211415767096411297
7393,VNDA,-0.350%,$12.34,$11.28,1.839%,-3.723%,34443566473058964868
4166,LEN,-0.355%,$86.18,$81.58,2.806%,-1.786%,4854946006576024793543566
6139,RY,-0.355%,$113.67,$111.45,0.854%,-0.969%,90959538107131533510941
7419,VREX,-0.357%,$23.12,$21.82,2.274%,-2.406%,38283501382541086769
7771,ZTS,-0.359%,$194.60,$187.60,0.203%,-1.271%,4561735947441793478937413
2958,GECCO,-0.359%,$25.05,$24.90,0.200%,-0.040%,65122116
7186,UMPQ,-0.361%,$20.19,$19.12,1.886%,-3.495%,1394014761124491587820208
1384,CECE,-0.361%,$5.87,$5.45,2.500%,-2.128%,18381624112912181384
7289,VCV,-0.362%,$11.07,$10.80,0.737%,-0.729%,348475523605458
7318,VFF,-0.363%,$6.55,$5.37,5.263%,-6.557%,1195018644917562028172
6829,TCS,-0.365%,$8.93,$8.03,3.695%,-5.104%,29334153574660605302
313,ALG,-0.366%,$148.73,$143.17,0.265%,-1.246%,1395117385312081368
2366,ENS,-0.368%,$76.76,$73.30,1.733%,-1.622%,34704402323038044516
1585,CMAX,-0.372%,$8.51,$7.88,3.841%,-2.781%,29773017315336634318
4327,LSTR,-0.372%,$156.91,$150.25,0.637%,-1.931%,65946585534559417105
4667,MPB,-0.372%,$27.59,$26.67,1.378%,-1.654%,313338257434533
3008,GHG,-0.372%,$5.60,$5.00,2.863%,-2.045%,168133152314247
993,BKR,-0.373%,$39.78,$35.17,2.134%,-2.421%,98879872276955811067271499
1731,CPOP,-0.374%,$1.88,$1.45,6.803%,-6.173%,85139401405621693
7714,YRD,-0.375%,$2.76,$2.50,6.773%,-2.308%,128384175148268
1282,CANO,-0.375%,$6.87,$6.28,4.573%,-3.130%,1130314603105081904011689
2464,ESTE,-0.375%,$14.12,$12.55,6.571%,-1.891%,48047983882886645140
1278,CAMT,-0.379%,$32.97,$30.51,2.665%,-3.220%,29692505254921442481
3228,GTLS,-0.379%,$186.72,$160.01,6.963%,-5.196%,1448812758492323515517458
674,ATRO,-0.381%,$14.38,$12.97,4.954%,-2.336%,27862792221117891776
3981,KF,-0.383%,$31.11,$29.76,1.185%,-0.987%,215661301148
982,BK,-0.384%,$53.63,$51.45,1.248%,-1.199%,3852349868462464593948901
1429,CFLT,-0.385%,$44.97,$38.96,6.500%,-6.753%,2540529509215333191923905
10,AAMC,-0.389%,$15.72,$14.00,7.254%,-4.147%,1654039292223
942,BHFAP,-0.389%,$26.14,$25.32,0.700%,-1.455%,311335187155205
7282,VCIF,-0.391%,$10.31,$9.76,0.892%,-1.859%,178602712691
3162,GPRE,-0.395%,$31.88,$29.68,3.821%,-3.665%,11522969013515118998631
5337,OWL,-0.396%,$13.05,$12.05,2.920%,-2.253%,102869067111131050311124
64,ACEV,-0.396%,$10.09,$10.05,0.100%,-0.396%,8493687184
1958,DAVA,-0.397%,$136.95,$128.03,2.175%,-1.737%,27063880345548607299
4827,NBIX,-0.399%,$95.03,$91.57,1.325%,-0.939%,114929252101211306812419
1401,CENT,-0.399%,$45.91,$43.96,1.404%,-1.362%,509590678748449
7592,WRAC,-0.400%,$10.12,$9.96,0.200%,-0.200%,216207115
2956,GECCM,-0.400%,$25.04,$24.90,0.502%,-0.400%,31251948
3882,JHAA,-0.403%,$9.51,$9.38,0.453%,-0.421%,1220323163
4041,KR,-0.406%,$57.88,$54.89,0.671%,-0.983%,5870346640430098067145081
220,AGIO,-0.407%,$31.13,$27.63,5.394%,-3.454%,54035540578256665883
645,ATEK,-0.407%,$9.84,$9.76,0.000%,-0.610%,16020755
7132,TZPS,-0.407%,$9.84,$9.76,0.044%,-0.610%,78392213
4037,KPLT,-0.408%,$2.70,$2.16,6.780%,-3.347%,26904130409049473049
3082,GLU,-0.408%,$19.61,$19.05,1.048%,-2.066%,93801435143
567,ARRW,-0.409%,$9.78,$9.73,0.206%,-0.409%,19662714207
2633,FFC,-0.412%,$19.48,$18.75,1.205%,-2.014%,318765691684524
6894,THC,-0.412%,$92.65,$85.85,1.637%,-3.676%,1288312032140351759423340
2713,FMAO,-0.415%,$37.27,$33.34,1.045%,-1.375%,1060763952955763
4818,NATR,-0.415%,$17.64,$16.79,1.186%,-2.099%,771632665792807
2021,DH,-0.417%,$25.22,$22.63,1.796%,-3.414%,59814010598873345639
2594,FCFS,-0.418%,$72.22,$67.73,2.813%,-3.061%,61226199539773254552
3458,HSIC,-0.419%,$89.48,$87.17,0.740%,-1.137%,10837118899478153599224
4449,MCBS,-0.419%,$24.56,$23.29,1.163%,-3.020%,506464509532427
6847,TEDU,-0.419%,$2.51,$2.10,10.599%,-4.545%,170105102239207
7703,YEXT,-0.421%,$7.54,$6.72,7.803%,-3.873%,95709709211452496612803
